id,studentno,candid_fname,candid_lname,candid_initial,candid_org,candid_position,partylist
60,15-4010-459,Bastien,Deverill,BD,ITSO,2nd Year Representative,
61,15-4010-460,Dodi,Blunsen,DB,ITSO,1st Year Representative,
62,15-4010-461,Solomon,Grellis,SG,ITSO,Graphic Designer,
63,15-4010-462,Jeni,Milkins,JM,ITSO,Graphic Designer,
64,15-4010-463,Arte,Reiglar,AR,ITSO,Events Videographer,
65,15-4010-464,Carlita,Stuttman,CS,ITSO,Events Videographer,
66,15-4010-465,Koralle,Tuminini,KT,ITSO,Director for Photography,
67,15-4010-466,Gillan,Pakes,GP,ITSO,Director for Photography,
68,15-4010-467,Alene,de la Valette Parisot,AD,ITSO,Video Editor,
69,15-4010-468,Tammie,Skitterel,TS,ITSO,Video Editor,
70,15-4010-469,Elene,Kirton,EK,ITSO,Director for Academics,
71,15-4010-470,Arlena,Korb,AK,ITSO,Director for Academics,
72,15-4010-471,Farrand,O'Drought,FO,ITSO,Asst. Director for Academics,
73,15-4010-472,Gar,Andrieu,GA,ITSO,Asst. Director for Academics,
74,15-4010-473,Barbara,O'Corr,BO,ITSO,System Analyst,
75,15-4010-474,Vanny,Rodolf,VR,ITSO,System Analyst,
76,15-4010-475,Kay,Bruff,KB,ITSO,Project Manager,
77,15-4010-476,Laraine,Littlechild,LL,ITSO,Project Manager,
78,15-4010-477,Allard,Souten,AS,OPS,President,
79,15-4010-478,Tedd,Sommerlin,TSN,OPS,President,
80,15-4010-479,Giorgio,Durnall,GD,OPS,Vice-President Internal,
81,15-4010-480,Melany,Iglesia,MI,OPS,Vice-President Internal,
82,15-4010-481,Ian,Breese,IB,OPS,Vice-President External,
83,15-4010-482,Krishnah,Guerreau,KG,OPS,Vice-President External,
84,15-4010-483,Mirabelle,Godfroy,MG,OPS,Secretary,
85,15-4010-484,Shannan,Kemston,SK,OPS,Secretary,
86,15-4010-485,Stanleigh,Fransoni,SF,OPS,Asst. Secretary,
87,15-4010-486,Melicent,Weber,MW,OPS,Asst. Secretary,
88,15-4010-487,Marietta,Reimer,MR,OPS,Treasurer,
89,15-4010-488,Dorie,Loach,DL,OPS,Treasurer,
90,15-4010-489,Wye,Scholz,WS,OPS,Asst. Treasurer,
91,15-4010-490,Rock,Rosenberg,RR,OPS,Asst. Treasurer,
92,15-4010-491,Sophia,Pruvost,SP,OPS,Auditor,
93,15-4010-492,Robert,Sirmond,RS,OPS,Auditor,
94,15-4010-493,Salvador,Clayworth,SC,OPS,Business Manager,
95,15-4010-494,Milo,Miskelly,MM,OPS,Business Manager,
96,15-4010-495,Ethelin,Aksell,EA,OPS,Public Relation Officer,
97,15-4010-496,Daffy,Peet,DP,OPS,Public Relation Officer,
98,15-4010-497,Janith,Kleinstub,JK,OPS,Sgt. at Arms,
99,15-4010-498,Gib,Chaudhry,GC,OPS,Sgt. at Arms,
100,15-4010-499,Jacynth,ODay,JO,OPS,Outreach Director,
101,15-4010-500,Kennan,Prestage,KP,OPS,Outreach Director,
102,15-4010-501,Mal,Thoresbie,MT,OPS,Project Director,
103,15-4010-502,My,Mitrovic,MY,OPS,Project Director,
104,15-4010-503,Janek,McWhinnie,JAM,OPS,1st Year Representative,
105,15-4010-504,Kay,Swale,KAS,OPS,1st Year Representative,
106,15-4010-505,Hermy,Grouer,HEG,OPS,2nd Year Representative,
107,15-4010-506,Salim,Jakubski,SAJ,OPS,2nd Year Representative,
108,15-4010-507,Erasmus,Horbart,ERH,OPS,3rd Year Representative,
109,15-4010-508,Kelwin,Conws,KEC,OPS,3rd Year Representative,
110,15-4010-509,Katina,Bowart,FAB,OPS,4th Year Representative,
111,15-4010-510,Vonni,Pelman,VOP,OPS,4th Year Representative,
112,15-4010-511,Yasmin,Auston,YAA,OPS,Quality Membership I,
113,15-4010-512,Marney,Zotto,MAZ,OPS,Quality Membership I,
114,15-4010-513,Cosimo,Dumini,COD,OPS,Quality Membership II,
115,15-4010-514,Steffane,Cawdery,STC,OPS,Quality Membership II,
116,15-4010-515,Lenci,Venners,LEV,OPS,Partnership and External,
117,15-4010-516,Tiff,Swapp,TIS,OPS,Partnership and External,
118,15-4010-517,Hale,Burney,HAB,OPS,Waste and Means,
119,15-4010-518,Ricki,Ransfield,RIR,OPS,Waste and Means,
182,18-9987-11,Name,Noname,J,SSC,President,
183,17-3412-52,Marco,Abrahan,M,ITSO,BSIT Representative,
184,18-8852-54,Noreen,Somine,F,SSC,Vice President,
185,19-5552-44,Paolo,Sunega,A,ITSO,President,
186,20-2241-44,Kuri,Kong,H,SSC,BSOA Representative,
187,21-4440-11,Kira,Nakazato,J,JPIA,President,
188,21-4440-12,Lenci,Venners,,JPIA,President,
189,21-4440-13,Tiff,Swapp,,JPIA,Vice President,
190,21-4440-14,Hale,Burney,,JPIA,Vice President,
191,21-4440-15,Ricki,Ransfield,,JPIA,Secretary,
192,21-4440-16,Name,Noname,,JPIA,Secretary,
193,21-4440-17,Marco,Abrahan,,JPIA,Treasurer,
194,21-4440-18,Noreen,Somine,,JPIA,Treasurer,
195,21-4440-19,Lenci,Venners,,JPIA,Auditor,
196,21-4440-20,Tiff,Swapp,,JPIA,Auditor,
197,21-4440-21,Hale,Burney,,JPIA,Acad Chair,
198,21-4440-22,Ricki,Ransfield,,JPIA,Acad Chair,
199,21-4440-23,Name,Noname,,JPIA,Non Acad Chair,
200,21-4440-24,Marco,Abrahan,,JPIA,Non Acad Chair,
201,21-4440-25,Noreen,Somine,,JPIA,1styearrep,
202,21-4440-26,Lenci,Venners,,JPIA,1styearrep,
203,21-4440-27,Tiff,Swapp,,JPIA,2ndyearrep,
204,21-4440-28,Hale,Burney,,JPIA,2ndyearrep,
205,21-4440-29,Ricki,Ransfield,,JPIA,3rdyearrep,
206,21-4440-30,Name,Noname,,JPIA,3rdyearrep,
207,21-4440-31,Marco,Abrahan,,JPIA,4thyearrep,
208,21-4440-32,Noreen,Somine,,JPIA,4thyearrep,
209,21-4440-33,Dorie,Loach,DL,JPIA,5thyearrep,
210,21-4440-34,Wye,Scholz,WS,JPIA,5thyearrep,
211,21-4440-35,Oliver,Parker,,SHS,President,
212,21-4440-36,Tony,Warren,,SHS,President,
213,21-4440-37,Amy,Hamilton,,SHS,Vice President,
214,21-4440-38,Haris,Cameron,,SHS,Vice President,
215,21-4440-39,Chester,Ellis,,SHS,Secretary,
216,21-4440-40,Harold,Wilson,,SHS,Secretary,
217,21-4440-41,Lyndon,Grant,,SHS,Treasurer,
218,21-4440-42,Max,Baker,,SHS,Treasurer,
219,21-4440-43,Natalie,Gibson,,SHS,Public Relation Officer,
220,21-4440-44,Connie,Hall,,SHS,Public Relation Officer,
221,21-4440-45,Eddy,Gibson,,SHS,Sgt. at Arms,
222,21-4440-46,Maximilian,Mason,,SHS,Sgt. at Arms,
223,21-4440-47,Lana,Baker,,SHS,STEM Representative,
224,21-4440-48,Rosie,Gray,,SHS,STEM Representative,
225,21-4440-49,Hailey,Tucker,,SHS,ABM Representative,
226,21-4440-50,Olivia,Davis,,SHS,ABM Representative,
227,21-4440-51,Paul,Ellis,,SHS,GAS Representative,
228,21-4440-52,Belinda,Morgan,,SHS,GAS Representative,
229,21-4440-53,Adrian,Ross,,SHS,HUMSS Representative,
230,21-4440-54,Dale,Douglas,,SHS,HUMSS Representative,
231,21-4440-55,Miley,Perry,,SHS,ICT Representative,
232,21-4440-56,Florrie,Morris,,SHS,ICT Representative,
233,21-4440-57,Tara,Farrell,,SHS,HE Representative,
234,21-4440-58,Sawyer,Montgomery,,SHS,HE Representative,
235,21-4440-59,Joy,Stanmore,,JHS,President,
236,21-4440-60,Georgeanna,Vanichev,,JHS,President,
237,21-4440-61,Bren,Sowte,,JHS,Vice President,
238,21-4440-62,Myriam,Chilley,,JHS,Vice President,
239,21-4440-63,Lisbeth,Danaher,,JHS,Secretary,
240,21-4440-64,Laurie,Minichi,,JHS,Secretary,
241,21-4440-65,Evania,Muston,,JHS,Treasurer,
242,21-4440-66,Chrysler,Domange,,JHS,Treasurer,
243,21-4440-67,Cyril,Kilbourn,,JHS,Auditor,
244,21-4440-68,Betti,Ferrettini,,JHS,Auditor,
245,21-4440-69,Ole,Agg,,JHS,Public Relation Officer,
246,21-4440-70,Jeth,Bancroft,,JHS,Public Relation Officer,
247,21-4440-71,Koenraad,Roland,,JHS,Sgt. at Arms,
248,21-4440-72,See,Linde,,JHS,Sgt. at Arms,
249,21-4440-73,Feodora,Spikings,,ELEM,President,
250,21-4440-74,Madelin,Asplin,,ELEM,President,
251,21-4440-75,Eb,Moretto,,ELEM,Vice President,
252,21-4440-76,Ann-marie,Seater,,ELEM,Vice President,
253,21-4440-77,Eartha,Gribben,,ELEM,Secretary,
254,21-4440-78,Prentiss,Scandroot,,ELEM,Secretary,
255,21-4440-79,Rosanne,Zupone,,ELEM,Treasurer,
256,21-4440-80,Ainsley,Van der Kruys,,ELEM,Treasurer,
257,21-4440-81,Adam,Roumier,,ELEM,Auditor,
258,21-4440-82,Brittney,Kuhle,,ELEM,Auditor,
259,21-4440-83,Essie,Astbery,,ELEM,Public Relation Officer,
260,21-4440-84,Ulysses,Whates,,ELEM,Public Relation Officer,
261,21-4440-85,Brand,Ranvoise,,ELEM,Sgt. at Arms,
262,21-4440-86,Shay,Haslum,,ELEM,Sgt. at Arms,
